Data;Recurso;Máquina;Produzido;id
28/02/2023;025073;Serra;62;28/02/2023025073Serra62
28/02/2023;033745;Serra;1;28/02/2023033745Serra1
28/02/2023;031031;Serra;12;28/02/2023031031Serra12
28/02/2023;405980;Usinagem;20;28/02/2023405980Usinagem20
28/02/2023;030326;Usinagem;76;28/02/2023030326Usinagem76
28/02/2023;029663;Corte;8;28/02/2023029663Corte8
28/02/2023;029664;Corte;16;28/02/2023029664Corte16
28/02/2023;031237;Corte;4;28/02/2023031237Corte4
28/02/2023;425953;Corte;24;28/02/2023425953Corte24
28/02/2023;465422;Corte;14;28/02/2023465422Corte14
28/02/2023;457656;Corte;60;28/02/2023457656Corte60
28/02/2023;030721;Corte;63;28/02/2023030721Corte63
28/02/2023;478970;Corte;10;28/02/2023478970Corte10
28/02/2023;031224;Corte;12;28/02/2023031224Corte12
28/02/2023;493107;Corte;28;28/02/2023493107Corte28
28/02/2023;031223;Corte;12;28/02/2023031223Corte12
28/02/2023;030544;Corte;2;28/02/2023030544Corte2
28/02/2023;031206;Corte;2;28/02/2023031206Corte2
28/02/2023;016123;Corte;12;28/02/2023016123Corte12
28/02/2023;030373;Corte;6;28/02/2023030373Corte6
28/02/2023;032099;Corte;6;28/02/2023032099Corte6
28/02/2023;459690;Corte;9;28/02/2023459690Corte9
28/02/2023;022263;Corte;13;28/02/2023022263Corte13
28/02/2023;483023;Corte;5;28/02/2023483023Corte5
28/02/2023;032099;Corte;6;28/02/2023032099Corte6
28/02/2023;459690;Corte;9;28/02/2023459690Corte9
28/02/2023;022263;Corte;13;28/02/2023022263Corte13
28/02/2023;483023;Corte;5;28/02/2023483023Corte5
28/02/2023;030553;Corte;12;28/02/2023030553Corte12
28/02/2023;031229;Corte;8;28/02/2023031229Corte8
28/02/2023;460394;Corte;8;28/02/2023460394Corte8
28/02/2023;033879;Corte;2;28/02/2023033879Corte2
28/02/2023;425187;Corte;2;28/02/2023425187Corte2
28/02/2023;468745;Corte;41;28/02/2023468745Corte41
28/02/2023;409959;Corte;8;28/02/2023409959Corte8
28/02/2023;030721;Corte;20;28/02/2023030721Corte20
28/02/2023;494616;Corte;58;28/02/2023494616Corte58
28/02/2023;425760;Corte;130;28/02/2023425760Corte130
28/02/2023;425760;Corte;130;28/02/2023425760Corte130
28/02/2023;031486;Corte;6;28/02/2023031486Corte6
28/02/2023;031487;Corte;1;28/02/2023031487Corte1
28/02/2023;460709;Corte;2;28/02/2023460709Corte2
28/02/2023;029663;Estamparia;8;28/02/2023029663Estamparia8
28/02/2023;029664;Estamparia;16;28/02/2023029664Estamparia16
28/02/2023;029665;Estamparia;8;28/02/2023029665Estamparia8
28/02/2023;031514;Estamparia;20;28/02/2023031514Estamparia20
28/02/2023;479068;Estamparia;3;28/02/2023479068Estamparia3
28/02/2023;425953;Estamparia;113;28/02/2023425953Estamparia113
28/02/2023;030451;Estamparia;28;28/02/2023030451Estamparia28
28/02/2023;030348;Estamparia;15;28/02/2023030348Estamparia15
28/02/2023;493107;Estamparia;24;28/02/2023493107Estamparia24
28/02/2023;030553;Estamparia;12;28/02/2023030553Estamparia12
28/02/2023;459690;Estamparia;9;28/02/2023459690Estamparia9
28/02/2023;031060;Estamparia;15;28/02/2023031060Estamparia15
28/02/2023;031223;Estamparia;12;28/02/2023031223Estamparia12
28/02/2023;031224;Estamparia;12;28/02/2023031224Estamparia12
28/02/2023;033879;Estamparia;26;28/02/2023033879Estamparia26
28/02/2023;025545;Estamparia;60;28/02/2023025545Estamparia60
28/02/2023;031229;Estamparia;8;28/02/2023031229Estamparia8
28/02/2023;460394;Estamparia;8;28/02/2023460394Estamparia8
28/02/2023;410718;Estamparia;17;28/02/2023410718Estamparia17
28/02/2023;023590;Montagem;14;28/02/2023023590Montagem14
28/02/2023;030340;Montagem;2;28/02/2023030340Montagem2
28/02/2023;031511;Montagem;8;28/02/2023031511Montagem8
28/02/2023;029661;Montagem;2;28/02/2023029661Montagem2
28/02/2023;025617;Montagem;3;28/02/2023025617Montagem3
28/02/2023;025840;Montagem;1;28/02/2023025840Montagem1
28/02/2023;030442;Montagem;1;28/02/2023030442Montagem1
28/02/2023;030445;Montagem;1;28/02/2023030445Montagem1
28/02/2023;025617;Montagem;9;28/02/2023025617Montagem9
28/02/2023;030467;Montagem;1;28/02/2023030467Montagem1
28/02/2023;030468;Montagem;1;28/02/2023030468Montagem1
28/02/2023;479937;Montagem;2;28/02/2023479937Montagem2
28/02/2023;029520;Montagem;1;28/02/2023029520Montagem1
28/02/2023;031254;Montagem;9;28/02/2023031254Montagem9
28/02/2023;031255;Montagem;9;28/02/2023031255Montagem9
28/02/2023;443785;Montagem;10;28/02/2023443785Montagem10
28/02/2023;030347;Montagem;3;28/02/2023030347Montagem3
28/02/2023;031016;Montagem;1;28/02/2023031016Montagem1
28/02/2023;031034;Montagem;2;28/02/2023031034Montagem2
28/02/2023;031548;Montagem;4;28/02/2023031548Montagem4
28/02/2023;031511;Montagem;8;28/02/2023031511Montagem8
28/02/2023;030753;Montagem;10;28/02/2023030753Montagem10
28/02/2023;031566;Montagem;5;28/02/2023031566Montagem5
28/02/2023;030671;Montagem;10;28/02/2023030671Montagem10
