Data_x,Recurso_x,Máquina_x,Produzido_x,id_x,count_x,id2,Data_y,Recurso_y,Máquina_y,Produzido_y,id_y,count_y
28/02/2023,029661 ,Montagem,2,28/02/2023029661Montagem2,1.0,28/02/2023029661Montagem21,28/02/2023,029661,Montagem,2,28/02/2023029661Montagem2,1.0
28/02/2023,030340 ,Montagem,2,28/02/2023030340Montagem2,1.0,28/02/2023030340Montagem21,28/02/2023,030340,Montagem,2,28/02/2023030340Montagem2,1.0
28/02/2023,030348 ,Estamparia,15,28/02/2023030348Estamparia15,1.0,28/02/2023030348Estamparia151,28/02/2023,030348,Estamparia,15,28/02/2023030348Estamparia15,1.0
28/02/2023,031514 ,Estamparia,20,28/02/2023031514Estamparia20,1.0,28/02/2023031514Estamparia201,28/02/2023,031514,Estamparia,20,28/02/2023031514Estamparia20,1.0
28/02/2023,459690 ,Estamparia,9,28/02/2023459690Estamparia9,1.0,28/02/2023459690Estamparia91,28/02/2023,459690,Estamparia,9,28/02/2023459690Estamparia9,1.0
28/02/2023,030451 ,Estamparia,28,28/02/2023030451Estamparia28,1.0,28/02/2023030451Estamparia281,28/02/2023,030451,Estamparia,28,28/02/2023030451Estamparia28,1.0
28/02/2023,031060 ,Estamparia,15,28/02/2023031060Estamparia15,1.0,28/02/2023031060Estamparia151,28/02/2023,031060,Estamparia,15,28/02/2023031060Estamparia15,1.0
28/02/2023,425953 ,Estamparia,113,28/02/2023425953Estamparia113,1.0,28/02/2023425953Estamparia1131,28/02/2023,425953,Estamparia,113,28/02/2023425953Estamparia113,1.0
28/02/2023,033879 ,Estamparia,26,28/02/2023033879Estamparia26,1.0,28/02/2023033879Estamparia261,28/02/2023,033879,Estamparia,26,28/02/2023033879Estamparia26,1.0
28/02/2023,405980 ,Usinagem,20,28/02/2023405980Usinagem20,1.0,28/02/2023405980Usinagem201,28/02/2023,405980,Usinagem,20,28/02/2023405980Usinagem20,1.0
28/02/2023,030326 ,Usinagem,76,28/02/2023030326Usinagem76,1.0,28/02/2023030326Usinagem761,28/02/2023,030326,Usinagem,76,28/02/2023030326Usinagem76,1.0
28/02/2023,025840 ,Montagem,1,28/02/2023025840Montagem1,1.0,28/02/2023025840Montagem11,28/02/2023,025840,Montagem,1,28/02/2023025840Montagem1,1.0
28/02/2023,025617 ,Montagem,9,28/02/2023025617Montagem9,1.0,28/02/2023025617Montagem91,28/02/2023,025617,Montagem,9,28/02/2023025617Montagem9,1.0
28/02/2023,025617 ,Montagem,3,28/02/2023025617Montagem3,1.0,28/02/2023025617Montagem31,28/02/2023,025617,Montagem,3,28/02/2023025617Montagem3,1.0
28/02/2023,030442 ,Montagem,1,28/02/2023030442Montagem1,1.0,28/02/2023030442Montagem11,28/02/2023,030442,Montagem,1,28/02/2023030442Montagem1,1.0
28/02/2023,030445 ,Montagem,1,28/02/2023030445Montagem1,1.0,28/02/2023030445Montagem11,28/02/2023,030445,Montagem,1,28/02/2023030445Montagem1,1.0
