Data;Recurso;Máquina;Produzido;id
28/02/2023;029661;Montagem;2;28/02/2023029661 Montagem2
28/02/2023;030340;Montagem;2;28/02/2023030340 Montagem2
28/02/2023;030348;Estamparia;15;28/02/2023030348 Estamparia15
28/02/2023;031514;Estamparia;20;28/02/2023031514 Estamparia20
28/02/2023;459690;Estamparia;9;28/02/2023459690 Estamparia9
28/02/2023;030451;Estamparia;28;28/02/2023030451 Estamparia28
28/02/2023;031060;Estamparia;15;28/02/2023031060 Estamparia15
28/02/2023;425953;Estamparia;113;28/02/2023425953 Estamparia113
28/02/2023;033879;Estamparia;26;28/02/2023033879 Estamparia26
28/02/2023;405980;Usinagem;20;28/02/2023405980 Usinagem20
28/02/2023;030326;Usinagem;76;28/02/2023030326 Usinagem76
28/02/2023;025840;Montagem;1;28/02/2023025840 Montagem1
28/02/2023;025617;Montagem;9;28/02/2023025617 Montagem9
28/02/2023;025617;Montagem;3;28/02/2023025617 Montagem3
28/02/2023;030442;Montagem;1;28/02/2023030442 Montagem1
28/02/2023;030445;Montagem;1;28/02/2023030445 Montagem1
28/02/2023;030467;Montagem;1;28/02/2023030467 Montagem1
28/02/2023;030468;Montagem;1;28/02/2023030468 Montagem1
28/02/2023;479937;Montagem;2;28/02/2023479937 Montagem2
28/02/2023;032099;Corte;6;28/02/2023032099 Corte6
28/02/2023;494616;Corte;58;28/02/2023494616 Corte58
28/02/2023;030553;Corte;12;28/02/2023030553 Corte12
28/02/2023;493107;Corte;28;28/02/2023493107 Corte28
28/02/2023;022263;Corte;13;28/02/2023022263 Corte13
28/02/2023;031223;Corte;12;28/02/2023031223 Corte12
28/02/2023;031224;Corte;12;28/02/2023031224 Corte12
28/02/2023;031229;Corte;8;28/02/2023031229 Corte8
28/02/2023;030721;Corte;63;28/02/2023030721 Corte63
28/02/2023;030721;Corte;61;28/02/2023030721 Corte61
28/02/2023;030721;Corte;20;28/02/2023030721 Corte20
28/02/2023;457656;Corte;60;28/02/2023457656 Corte60
28/02/2023;465422;Corte;14;28/02/2023465422 Corte14
28/02/2023;016123;Corte;12;28/02/2023016123 Corte12
28/02/2023;468745;Corte;41;28/02/2023468745 Corte41
28/02/2023;459690;Corte;9;28/02/2023459690 Corte9
28/02/2023;483023;Corte;5;28/02/2023483023 Corte5
28/02/2023;031237;Corte;4;28/02/2023031237 Corte4
28/02/2023;425953;Corte;24;28/02/2023425953 Corte24
28/02/2023;460394;Corte;8;28/02/2023460394 Corte8
28/02/2023;029663;Corte;8;28/02/2023029663 Corte8
28/02/2023;029664;Corte;16;28/02/2023029664 Corte16
28/02/2023;030373;Corte;6;28/02/2023030373 Corte6
28/02/2023;030544;Corte;2;28/02/2023030544 Corte2
28/02/2023;031206;Corte;2;28/02/2023031206 Corte2
28/02/2023;031486;Corte;6;28/02/2023031486 Corte6
28/02/2023;409959;Corte;8;28/02/2023409959 Corte8
28/02/2023;425187;Corte;2;28/02/2023425187 Corte2
28/02/2023;425760;Corte;130;28/02/2023425760 Corte130
28/02/2023;460709;Corte;2;28/02/2023460709 Corte2
28/02/2023;033879;Corte;2;28/02/2023033879 Corte2
28/02/2023;478970;Corte;10;28/02/2023478970 Corte10
28/02/2023;031511;Montagem;8;28/02/2023031511 Montagem8
28/02/2023;031511;Montagem;8;28/02/2023031511 Montagem8
28/02/2023;031548;Montagem;4;28/02/2023031548 Montagem4
28/02/2023;031016;Montagem;1;28/02/2023031016 Montagem1
28/02/2023;031034;Montagem;2;28/02/2023031034 Montagem2
28/02/2023;023590;Montagem;14;28/02/2023023590 Montagem14
28/02/2023;030347;Montagem;3;28/02/2023030347 Montagem3
28/02/2023;025545;Estamparia;60;28/02/2023025545 Estamparia60
28/02/2023;033745;Serra;1;28/02/2023033745 Serra1
28/02/2023;025073;Serra;62;28/02/2023025073 Serra62
28/02/2023;031031;Serra;12;28/02/2023031031 Serra12
